City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Huarmey,38.4362,57.4316,292.05,36,33,1.68,TM,2021-04-02 21:22:32
270,Huarmey,-33.963,22.4617,286.15,88,0,0.51,ZA,2021-04-02 21:22:33
271,Huarmey,10.3997,-75.5144,303.15,70,40,8.23,CO,2021-04-02 21:22:33
272,Huarmey,-14.3779,34.3332,285.73,91,64,0.67,MW,2021-04-02 21:22:33
273,Huarmey,71.9167,114.0833,234.03,100,60,1.24,RU,2021-04-02 21:22:34
274,Huarmey,0.5738,12.8642,294.33,98,100,0.08,GA,2021-04-02 21:22:34
275,Huarmey,-20.5667,164.2833,298.02,90,100,3.01,NC,2021-04-02 21:22:34
276,Huarmey,54.4815,53.471,272.49,91,6,4.07,RU,2021-04-02 21:22:35
277,Huarmey,-34.7333,135.8667,294.2,40,0,3.59,AU,2021-04-02 21:22:35
278,Huarmey,20.4487,121.9702,299.63,75,70,4.78,PH,2021-04-02 21:22:36
279,Huarmey,-3.3333,128.9167,298.86,82,100,2.3,ID,2021-04-02 21:22:17
280,Huarmey,35.8614,14.3822,288.71,94,20,2.57,MT,2021-04-02 21:22:36
281,Huarmey,43.4606,19.8114,281.15,93,0,2.57,RS,2021-04-02 21:22:36
282,Huarmey,-19.0595,-169.9187,302.15,70,37,4.12,NU,2021-04-02 21:22:37
283,Huarmey,-0.7393,-90.3518,300.15,83,40,4.12,EC,2021-04-02 21:22:37
284,Huarmey,23.7,81.3833,295.37,10,0,2.94,IN,2021-04-02 21:22:37
285,Huarmey,18.2164,42.5053,292.15,67,0,0.51,SA,2021-04-02 21:22:38
286,Huarmey,60.5697,27.1979,274.15,86,40,2.06,FI,2021-04-02 21:22:38
287,Huarmey,7.4167,81.8167,298.78,86,5,1.17,LK,2021-04-02 21:22:38
288,Huarmey,37.7167,-25.4333,289.15,88,75,6.69,PT,2021-04-02 21:22:39
289,Huarmey,-3.3542,-64.7114,305.15,62,40,2.57,BR,2021-04-02 21:22:39
290,Huarmey,5.5577,95.3222,300.16,74,100,3.5,ID,2021-04-02 21:17:58
291,Huarmey,70.8578,29.0864,272.03,80,90,1.9,NO,2021-04-02 21:22:39
292,Huarmey,39.2342,106.3439,277.63,47,100,2.29,CN,2021-04-02 21:22:40
293,Huarmey,-1.5283,-49.2167,299.59,82,14,1.73,BR,2021-04-02 21:22:40
294,Huarmey,-33.0117,17.9442,290.15,63,19,2.06,ZA,2021-04-02 21:22:40
295,Huarmey,66.0,111.5,241.23,100,100,2.11,RU,2021-04-02 21:22:41
